,Name,Short description,Description,tags,Categories,Images,ID
101,vivo vivo V7,vivo V7 review,3.6,"vivo,Android",android > vivo,"https://cdn.gsmarena.com/imgroot/reviews/17/vivo-v7/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/vivo-v7/lifestyle/-728w2/gsmarena_011.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/vivo-v7/lifestyle/-728w2/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/vivo-v7/lifestyle/-728w2/gsmarena_010.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/vivo-v7/lifestyle/-728w2/gsmarena_006.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/vivo-v7/lifestyle/-728w2/gsmarena_008.jpg",102
102,Huawei Mate 10 Lite,Huawei Mate 10 Lite review,3.5,"Huawei,Android,Dual SIM",android > Huawei,"https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mate-10-lite/lifestyle/-728w2/gsmarena_013.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mate-10-lite/ofic/-728w3/gsmarena_001.jpg",103
103,Samsung Galaxy A8 (2018),Samsung Galaxy A8 (2018) hands-on review,,"Samsung,Android,Dual SIM,Preview",android > Samsung,,104
104,Sharp Aquos S2,Sharp Aquos S2 hands-on review,,"Sharp,Android,Preview",android > Sharp,https://cdn.gsmarena.com/imgroot/reviews/17/sharp-aquos-s2/inline/-728/gsmarena_001.jpg,105
107,LG LG Q6,LG Q6 review,3.2,"LG,Android",android > LG,"https://cdn.gsmarena.com/imgroot/reviews/17/lg-q6/review/lifestyle/-728w2/gsmarena_006.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/lg-q6/review/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/lg-q6/review/offic/-728w3/gsmarena_001.jpg",108
109,Samsung Galaxy A8 (2018),Samsung Galaxy A8 (2018) review,4.1,"Samsung,Android",android > Samsung,"https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-a8-2018/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-a8-2018/lifestyle/-728w2/gsmarena_003.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-a8-2018/lifestyle/-728w2/gsmarena_010.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-a8-2018/lifestyle/-728w2/gsmarena_009.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-a8-2018/lifestyle/-728w2/gsmarena_004.jpg",110
110,Google Pixel 2 XL,Google Pixel 2 XL long-term review,,"Google,Android,Long-term",android > Google,https://cdn.gsmarena.com/imgroot/reviews/18/google-pixel-2-xl-long-term/lifestyle/-728w2/gsmarena_100.jpg,111
111,Nokia Nokia 2,Nokia 2 review,2.6,"Nokia,Android,Dual SIM",android > Nokia,"https://cdn.gsmarena.com/imgroot/reviews/17/nokia-2/review/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-2/review/lifestyle/-728w2/gsmarena_010.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-2/review/lifestyle/-728w2/gsmarena_006.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-2/review/lifestyle/-728w2/gsmarena_007.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-2/review/lifestyle/-728w2/gsmarena_008.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-2/review/lifestyle/-728w2/gsmarena_009.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-2/review/lifestyle/-728w2/gsmarena_001.jpg",112
112,Honor Honor 7X,Huawei Honor 7X review,3.5,"Honor,Huawei,Android",android > Honor,"https://cdn.gsmarena.com/imgroot/reviews/18/honor-7x/lifestyle/-728w2/gsmarena_002.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/honor-7x/lifestyle/-728w2/gsmarena_012.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/honor-7x/lifestyle/-728w2/gsmarena_006.jpg",113
113,Sony Xperia XA2 Ultra,"Xperia XA2, XA2 Ultra, L2 hands-on review",,"Sony,Android,Dual SIM,Preview",android > Sony,,114
